accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8900962110048045,0.330411,137,1,0,4,0,0,1,0,0
0.8900962110048045,0.331939,119,1,0,4,0,0,1,0,0
0.8898008347677109,0.510947,121,0,0,4,0,0,1,0,0
0.8898008347677109,0.509343,128,0,0,4,0,0,0,0,0
0.8898008347677109,0.507561,0,0,0,26,0,0,0,0,0
0.8898008347677109,0.525328,113,0,1,1,0,0,4,0,0
0.8900962017316811,0.44859,1,0,1,28,0,1,0,1,1
0.8898008347677109,0.509351,200,0,0,0,0,1,0,0,0
0.8900962110048045,0.313459,0,1,1,53,0,0,15,0,0
0.8900962110048045,0.328603,2,1,1,41,0,0,14,0,0
0.8900962110048045,0.314046,0,1,1,25,0,0,18,0,0
0.8900962110048045,0.315773,1,1,1,41,0,0,14,0,0
0.8900962110048045,0.331633,0,0,1,41,0,0,14,0,0
0.8900962110048045,0.313929,0,1,1,1,0,0,14,0,0
0.8900962110048045,0.313864,0,1,1,41,0,0,6,0,0
0.8900962110048045,0.313814,0,1,1,41,0,0,14,0,1
0.8898008347677109,0.508217,125,0,0,4,0,0,1,0,0
0.8898008347677109,0.506731,132,0,0,3,0,0,1,0,0
0.8898008347677109,0.508637,123,0,0,4,0,0,0,0,0
0.8898008347677109,0.519286,117,0,0,4,0,0,1,0,0
0.8900962110048045,0.313741,20,1,1,2,0,1,0,1,0
0.8898008347677109,0.513035,2,0,0,7,0,1,4,1,0
0.8898008347677109,0.515413,5,0,0,31,0,1,3,1,0
0.8898008347677109,0.512861,2,0,0,2,0,1,13,0,0
0.8900962110048045,0.315692,0,1,1,41,0,0,12,0,0
0.8900962110048045,0.313627,0,1,1,41,0,0,16,0,0
0.8900962110048045,0.324383,0,1,1,76,0,0,9,0,0
0.8900962110048045,0.315403,0,1,1,60,0,0,14,0,0
0.8900962110048045,0.319916,0,1,1,41,0,0,1,0,0
0.8898008347677109,0.53659,0,1,0,41,0,0,14,0,0
0.8900962110048045,0.328938,0,1,1,0,0,0,4,0,0
0.8898008347677109,0.543342,0,1,0,41,0,0,14,0,0
0.8898008347677109,0.507671,128,0,0,4,0,0,1,0,0
0.8898008347677109,0.559781,0,0,0,0,0,0,0,0,1
0.8900962110048045,0.318262,26,1,1,33,1,1,0,1,0
0.8906444867384298,0.484483,25,1,0,4,0,0,0,0,1
0.8898008347677109,0.522829,146,0,0,4,0,0,1,0,0
0.8900962110048045,0.313282,0,1,1,42,0,0,14,0,0
0.8900962110048045,0.335054,2,1,1,46,0,0,14,0,0
0.8900962110048045,0.317529,0,1,1,25,0,0,14,0,0
0.8898008347677109,0.508508,140,0,0,4,0,0,1,0,0
0.8898008347677109,0.548259,0,1,0,41,0,0,4,0,0
0.8900962110048045,0.332866,0,0,1,90,0,0,14,0,0
0.8900962110048045,0.31435,23,1,1,41,0,0,14,0,0
0.8898008347677109,0.515401,133,0,0,4,0,0,1,0,0
0.8900962110048045,0.332609,0,0,1,10,0,0,1,1,1
0.8898008347677109,0.508278,9,0,0,97,1,0,0,1,0
0.8900962017316811,0.452338,1,0,1,13,1,0,3,1,0
0.8900962110048045,0.340946,135,1,0,4,0,0,1,0,0
0.8900962110048045,0.330403,126,1,0,4,0,0,1,0,0
0.8898008347677109,0.507904,133,0,0,3,0,0,1,0,0
0.8898008347677109,0.520018,131,0,0,4,0,0,1,0,0
0.8900962110048045,0.319628,36,1,1,41,0,0,14,0,0
0.8900962110048045,0.322548,0,1,1,41,0,0,0,0,0
0.8900962110048045,0.32671,0,1,1,41,0,0,3,0,0
0.8898008347677109,0.507172,0,0,0,67,0,0,14,0,0
0.8900962110048045,0.314858,0,1,1,41,0,0,15,0,0
0.8900962110048045,0.314544,0,1,1,41,0,0,15,0,0
0.8900962110048045,0.313891,0,1,1,53,0,0,15,0,0
